State,County,City,Street,Zipcode,Property_Type,Status,Price,Year_Built,Beds,Bath,Sqft,Lot Area,HOA Due,School_rating,WalkScore,Bike_Score,Garage_availability,Redfin_estimate
Ca,Sonoma-county,Santa rosa,1830 leafgreen dr,95405,Single family residential,Active,750000.0,1961,3.0,2.0,1425.0,7022.0,0.0,6,58,57.0,Yes,752455.0
Ca,Sonoma-county,Petaluma,214 jacquelyn ln,94952,Single family residential,Active,1425000.0,2010,4.0,2.5,3141.0,7148.0,0.0,8,32,13.0,Yes,1431730.0
Ca,Sonoma-county,Rohnert park,4579 harmony pl,94928,Single family residential,Active,700000.0,1986,3.0,2.0,1470.0,4500.0,0.0,6,30,64.0,Yes,701179.0
Ca,Sonoma-county,Petaluma,1619 northstar dr,94954,Single family residential,Active,700000.0,1986,3.0,2.5,1421.0,4400.0,69.0,7,52,47.0,Yes,700119.0
Ca,Sonoma-county,Santa rosa,336 pythian rd,95409,Single family residential,Active,995000.0,1978,3.0,2.0,2029.0,8281.0,113.0,7,11,33.0,Yes,0.0
Ca,Sonoma-county,Petaluma,433 garfield dr,94954,Single family residential,Active,795000.0,1969,4.0,2.0,1882.0,6242.0,0.0,7,27,52.0,Yes,798524.0
Ca,Sonoma-county,Healdsburg,2707 n fitch mountain rd,95448,Single family residential,Active,1349000.0,1930,3.0,3.0,1753.0,16117.199999999999,0.0,7,6,12.0,Yes,1352552.0
Ca,Sonoma-county,Santa rosa,59 fairlie dr,95403,Single family residential,Active,699000.0,1962,3.0,2.0,1187.0,10890.0,0.0,6,49,59.0,Yes,712922.0
Ca,Sonoma-county,Sebastopol,775 litchfield ave,95472,Single family residential,Active,879000.0,1999,3.0,2.5,1782.0,6098.0,0.0,7,80,50.0,Yes,885772.0
Ca,Sonoma-county,Rohnert park,7625 melody dr,94928,Single family residential,Active,719000.0,1989,3.0,2.5,1895.0,3999.0,0.0,5,64,59.0,Yes,0.0
Ca,Sonoma-county,Petaluma,1724 moclips dr,94954,Single family residential,Active,850000.0,1977,4.0,2.0,1768.0,6800.0,0.0,7,58,79.0,Yes,862004.0
Ca,Sonoma-county,Petaluma,701 regina ct,94954,Single family residential,Active,715000.0,1964,3.0,2.0,1740.0,7425.0,0.0,7,51,74.0,Yes,0.0
Ca,Sonoma-county,Windsor,6133 aaron ct,95492,Single family residential,Active,1299000.0,1989,4.0,2.0,2350.0,10019.0,0.0,6,30,36.0,Yes,1298734.0
Ca,Sonoma-county,Bodega bay,1840 whaleship rd,94923,Single family residential,Active,1499000.0,1970,4.0,2.0,2107.0,6752.0,0.0,3,13,5.0,No,0.0
Ca,Sonoma-county,Rohnert park,5732 davis cir,94928,Single family home,Active,789000.0,1975,3.0,2.5,1871.0,8085.0,0.0,6,20,35.0,Yes,790643.0
Ca,Sonoma-county,Petaluma,1838 ingram way,94954,Single family residential,Active,999999.0,2001,3.0,2.0,1745.0,5079.0,0.0,7,41,67.0,Yes,1002033.0
Ca,Sonoma-county,Santa rosa,2916 joyce st,95405,Single family residential,Active,849000.0,1970,3.0,2.5,1986.0,9592.0,0.0,8,38,47.0,Yes,856805.0
Ca,Sonoma-county,Santa rosa,2005 bristlecone ct,95403,Single family residential,Active,1689000.0,2020,5.0,3.0,3262.0,10812.0,75.0,6,5,7.0,Yes,1691193.0
